,Year,Month,Day,Hour,Minute,Load (kW),Solar Generation (kWh)
0,2021,1,1,0,0,0.642567641,0.0
1,2021,1,1,0,15,0.6147171764999999,0.0
2,2021,1,1,0,30,0.586866712,0.0
3,2021,1,1,0,45,0.5590162475,0.0
4,2021,1,1,1,0,0.531165783,0.0
5,2021,1,1,1,15,0.520232339,0.0
6,2021,1,1,1,30,0.509298895,0.0
7,2021,1,1,1,45,0.498365451,0.0
8,2021,1,1,2,0,0.48743200700000006,0.0
9,2021,1,1,2,15,0.48412874150000007,0.0
10,2021,1,1,2,30,0.48082547600000003,0.0
11,2021,1,1,2,45,0.4775222105,0.0
12,2021,1,1,3,0,0.474218945,0.0
13,2021,1,1,3,15,0.473963882,0.0
14,2021,1,1,3,30,0.47370881899999995,0.0
15,2021,1,1,3,45,0.47345375599999995,0.0
16,2021,1,1,4,0,0.47319869299999995,0.0
17,2021,1,1,4,15,0.48626056774999993,0.0
18,2021,1,1,4,30,0.49932244249999996,0.0
19,2021,1,1,4,45,0.51238431725,0.0
20,2021,1,1,5,0,0.525446192,0.0
21,2021,1,1,5,15,0.579763072,0.0
22,2021,1,1,5,30,0.634079952,0.0
23,2021,1,1,5,45,0.688396832,0.0
24,2021,1,1,6,0,0.742713712,0.0
25,2021,1,1,6,15,0.81355214075,0.0
26,2021,1,1,6,30,0.8843905695000001,0.0
27,2021,1,1,6,45,0.9552289982500001,0.0
28,2021,1,1,7,0,1.026067427,0.0
29,2021,1,1,7,15,1.016130084,0.0878119324375
30,2021,1,1,7,30,1.006192741,0.175623864875
31,2021,1,1,7,45,0.9962553980000001,0.2634357973125
32,2021,1,1,8,0,0.986318055,0.35124772975
33,2021,1,1,8,15,0.9551639012500001,0.4342439008125
34,2021,1,1,8,30,0.9240097475,0.517240071875
35,2021,1,1,8,45,0.89285559375,0.6002362429375
36,2021,1,1,9,0,0.86170144,0.683232414
37,2021,1,1,9,15,0.8623276172500001,0.73776065875
38,2021,1,1,9,30,0.8629537945000001,0.7922889035
39,2021,1,1,9,45,0.86357997175,0.84681714825
40,2021,1,1,10,0,0.864206149,0.9013453929999999
41,2021,1,1,10,15,0.86868538625,0.9317398968124999
42,2021,1,1,10,30,0.8731646235,0.962134400625
43,2021,1,1,10,45,0.87764386075,0.9925289044375001
44,2021,1,1,11,0,0.882123098,1.02292340825
45,2021,1,1,11,15,0.87724205,1.029664245875
46,2021,1,1,11,30,0.8723610019999999,1.0364050835
47,2021,1,1,11,45,0.8674799539999999,1.043145921125
48,2021,1,1,12,0,0.8625989059999999,1.04988675875
49,2021,1,1,12,15,0.8558551612499999,1.0374828805
50,2021,1,1,12,30,0.8491114165,1.02507900225
51,2021,1,1,12,45,0.8423676717499999,1.012675124
52,2021,1,1,13,0,0.835623927,1.00027124575
53,2021,1,1,13,15,0.83455715,0.9665636455
54,2021,1,1,13,30,0.8334903730000001,0.93285604525
55,2021,1,1,13,45,0.832423596,0.899148445
56,2021,1,1,14,0,0.831356819,0.8654408447499999
57,2021,1,1,14,15,0.84640388525,0.8094473993125
58,2021,1,1,14,30,0.8614509515000001,0.753453953875
59,2021,1,1,14,45,0.8764980177500001,0.6974605084375
60,2021,1,1,15,0,0.8915450840000001,0.641467063
61,2021,1,1,15,15,0.9485570825,0.5655687660625
62,2021,1,1,15,30,1.005569081,0.489670469125
63,2021,1,1,15,45,1.0625810795000001,0.4137721721875
64,2021,1,1,16,0,1.119593078,0.33787387525
65,2021,1,1,16,15,1.2242220860000002,0.2534054064375
66,2021,1,1,16,30,1.328851094,0.168936937625
67,2021,1,1,16,45,1.4334801019999999,0.08446846881250003
68,2021,1,1,17,0,1.53810911,0.0
69,2021,1,1,17,15,1.6065289605,0.0
70,2021,1,1,17,30,1.674948811,0.0
71,2021,1,1,17,45,1.7433686615,0.0
72,2021,1,1,18,0,1.811788512,0.0
73,2021,1,1,18,15,1.799545816,0.0
74,2021,1,1,18,30,1.78730312,0.0
75,2021,1,1,18,45,1.775060424,0.0
76,2021,1,1,19,0,1.7628177280000001,0.0
77,2021,1,1,19,15,1.73085906325,0.0
78,2021,1,1,19,30,1.6989003985000002,0.0
79,2021,1,1,19,45,1.66694173375,0.0
80,2021,1,1,20,0,1.634983069,0.0
81,2021,1,1,20,15,1.59970467175,0.0
82,2021,1,1,20,30,1.5644262745000002,0.0
83,2021,1,1,20,45,1.52914787725,0.0
84,2021,1,1,21,0,1.49386948,0.0
85,2021,1,1,21,15,1.42287939225,0.0
86,2021,1,1,21,30,1.3518893045000002,0.0
87,2021,1,1,21,45,1.2808992167500002,0.0
88,2021,1,1,22,0,1.2099091290000001,0.0
89,2021,1,1,22,15,1.1380390645,0.0
90,2021,1,1,22,30,1.066169,0.0
91,2021,1,1,22,45,0.9942989355,0.0
92,2021,1,1,23,0,0.9224288709999999,0.0
93,2021,1,1,23,15,0.8508201424999999,0.0
94,2021,1,1,23,30,0.7792114139999999,0.0
95,2021,1,1,23,45,0.7076026855,0.0
96,2021,1,2,0,0,0.635993957,0.0
97,2021,1,2,0,15,0.6088001575,0.0
98,2021,1,2,0,30,0.581606358,0.0
99,2021,1,2,0,45,0.5544125585,0.0
100,2021,1,2,1,0,0.527218759,0.0
101,2021,1,2,1,15,0.5166192615,0.0
102,2021,1,2,1,30,0.506019764,0.0
103,2021,1,2,1,45,0.4954202665,0.0
104,2021,1,2,2,0,0.484820769,0.0
105,2021,1,2,2,15,0.48182896199999997,0.0
106,2021,1,2,2,30,0.478837155,0.0
107,2021,1,2,2,45,0.475845348,0.0
108,2021,1,2,3,0,0.472853541,0.0
109,2021,1,2,3,15,0.47227204,0.0
110,2021,1,2,3,30,0.471690539,0.0
111,2021,1,2,3,45,0.47110903800000004,0.0
112,2021,1,2,4,0,0.47052753700000005,0.0
113,2021,1,2,4,15,0.4832330275,0.0
114,2021,1,2,4,30,0.495938518,0.0
115,2021,1,2,4,45,0.5086440084999999,0.0
116,2021,1,2,5,0,0.5213494989999999,0.0
117,2021,1,2,5,15,0.5699830687499999,0.0
118,2021,1,2,5,30,0.6186166384999999,0.0
119,2021,1,2,5,45,0.6672502082499999,0.0
120,2021,1,2,6,0,0.7158837779999999,0.0
121,2021,1,2,6,15,0.7881393497499999,0.0
122,2021,1,2,6,30,0.8603949215,0.0
123,2021,1,2,6,45,0.9326504932499999,0.0
124,2021,1,2,7,0,1.004906065,0.0
125,2021,1,2,7,15,0.9921497372499999,0.0837679075625
126,2021,1,2,7,30,0.9793934095,0.167535815125
127,2021,1,2,7,45,0.9666370817500001,0.2513037226875
128,2021,1,2,8,0,0.953880754,0.33507163025
129,2021,1,2,8,15,0.919578161,0.4191588370625
130,2021,1,2,8,30,0.8852755680000001,0.5032460438749999
131,2021,1,2,8,45,0.8509729750000001,0.5873332506875
132,2021,1,2,9,0,0.8166703820000001,0.6714204575
133,2021,1,2,9,15,0.8158252665000001,0.729452190875
134,2021,1,2,9,30,0.8149801510000001,0.78748392425
135,2021,1,2,9,45,0.8141350355,0.8455156576249999
136,2021,1,2,10,0,0.81328992,0.9035473909999999
137,2021,1,2,10,15,0.8173760245,0.934352432125
138,2021,1,2,10,30,0.8214621289999999,0.9651574732499999
139,2021,1,2,10,45,0.8255482335,0.9959625143749999
140,2021,1,2,11,0,0.829634338,1.0267675555
141,2021,1,2,11,15,0.82592285325,1.033879419
142,2021,1,2,11,30,0.8222113685000001,1.0409912825
143,2021,1,2,11,45,0.81849988375,1.048103146
144,2021,1,2,12,0,0.8147883990000001,1.0552150095000001
145,2021,1,2,12,15,0.8091002730000001,1.0429947675625
146,2021,1,2,12,30,0.8034121470000001,1.030774525625
147,2021,1,2,12,45,0.7977240210000001,1.0185542836875001
148,2021,1,2,13,0,0.792035895,1.00633404175
149,2021,1,2,13,15,0.792084733,0.972531450125
150,2021,1,2,13,30,0.792133571,0.9387288585
151,2021,1,2,13,45,0.792182409,0.904926266875
152,2021,1,2,14,0,0.792231247,0.87112367525
153,2021,1,2,14,15,0.807794963,0.813455393
154,2021,1,2,14,30,0.823358679,0.75578711075
155,2021,1,2,14,45,0.838922395,0.6981188285
156,2021,1,2,15,0,0.8544861109999999,0.64045054625
157,2021,1,2,15,15,0.911783373,0.5652177346875
158,2021,1,2,15,30,0.969080635,0.48998492312499997
159,2021,1,2,15,45,1.026377897,0.41475211156249997
160,2021,1,2,16,0,1.083675159,0.33951929999999997
161,2021,1,2,16,15,1.18844566425,0.25463947499999995
